;U/CB;BPR;;
POLI 2;;;;
2,2;352;352/A;;
3;353;351/B;;
4;402;402/A;;
5,5;403;401/B;;
7,5;452;452/A;;
11;453;451/B;;
15;502;502/A;;
18,5;503;501/B;;
POLI 4;;;;
0,25;354;352/C;;
0,37;355;351/D;;
0,55;404;401/C;;
0,75;454;452/C;;
1,1;455;451/D;;
1,5;504;502/C;;
2,2;505;501/D;;
3;564;562/C;;
4;565;561/B;;
5,5;634;632/A;;
7,5;635;631/B;;
11;714;712/A;;
15;715;711/B;;
18,5;804;802/A;;
22;805;801/B;;
37;904;902/B;;
45;905;901/C;;
55;1004;1002/A;;
75;1005;1001/B;;
POLI 6;;;;
0,37;506;502/E;;
0,55;507;501/F;;
0,75;566;562/C;;
1,1;567;561/D;;
1,5;636;632/C;;
2,2;637;631/D;;
3;716;712/C;;
4;717;711/D;;
5,5;806;802/C;;
7,5;807;801/D;;
11;906;902/D;;
15;907;901/E;;
18,5;1006;1002/C;;
22;1007;1001/D;;